Month,Value
2007-01-01,5029.123264804412
2007-02-01,5368.530422403119
2007-03-01,4937.114973438228
2007-04-01,5126.498529052678
2007-05-01,5181.954457296469
2007-06-01,4922.600557435678
2007-07-01,5550.106854196051
2007-08-01,5616.73290945057
2007-09-01,5612.732499442864
2007-10-01,5612.938100083982
2007-11-01,5306.22148644929
2007-12-01,5706.603648043837
2008-01-01,5809.556516163078
2008-02-01,5734.349125293004
2008-03-01,6025.96415149475
2008-04-01,6295.5049442693235
2008-05-01,6880.034906110417
2008-06-01,6377.726197828114
2008-07-01,6486.605102312774
2008-08-01,6451.852735616961
2008-09-01,5885.989434924312
2008-10-01,6629.241849012639
2008-11-01,6740.7993962961355
2008-12-01,7681.7803803788165
2009-01-01,6812.462716754968
2009-02-01,7072.73987791169
2009-03-01,7032.469241032886
2009-04-01,6697.3334199036335
2009-05-01,7632.786602472707
2009-06-01,7572.482835636634
2009-07-01,7671.875134526375
2009-08-01,7114.370814284682
2009-09-01,8074.975741477101
2009-10-01,7088.144512866605
2009-11-01,7934.960629272029
2009-12-01,8642.623461230614
2010-01-01,7490.442922651746
2010-02-01,7739.258806380334
2010-03-01,8086.050097827001
2010-04-01,7931.360847216117
2010-05-01,7596.045877231934
2010-06-01,8330.326288864151
2010-07-01,7957.757278103037
2010-08-01,8667.904481405716
2010-09-01,8183.549025846735
2010-10-01,9287.859321996815
2010-11-01,8408.998903866943
2010-12-01,8686.969821178403
2011-01-01,9251.15999160815
2011-02-01,8475.818380513016
2011-03-01,9181.306164888081
2011-04-01,9732.262921903683
2011-05-01,8568.735604475201
2011-06-01,9429.614713832767
2011-07-01,9551.74959758608
2011-08-01,9870.251153490499
2011-09-01,9071.926595503712
2011-10-01,9121.451721382475
2011-11-01,10029.240351434903
2011-12-01,10019.866052312507
2012-01-01,10090.057638103306
2012-02-01,10224.834627176808
2012-03-01,9848.767197616558
2012-04-01,10356.30731292229
2012-05-01,10476.328234501561
2012-06-01,10101.972754534881
2012-07-01,11393.992629969967
2012-08-01,10838.945592726617
2012-09-01,10148.521441380526
2012-10-01,11112.916912116563
2012-11-01,10431.222229743316
2012-12-01,11364.767566500343
2013-01-01,11638.838458253345
2013-02-01,10778.617252946606
2013-03-01,11737.41915274582
2013-04-01,11565.095298440627
2013-05-01,11861.512089307364
2013-06-01,12488.617689160043
2013-07-01,11525.851831952548
2013-08-01,11367.027224733001
2013-09-01,11392.559957119789
2013-10-01,11523.140983304616
2013-11-01,11990.857193367288
2013-12-01,12299.573025692216
2014-01-01,12363.949178154106
2014-02-01,12744.074328482739
2014-03-01,12422.936884545246
2014-04-01,13267.239176681509
2014-05-01,12473.004777461467
2014-06-01,14132.97350583493
2014-07-01,13135.803815330124
2014-08-01,12451.720360292325
2014-09-01,12434.522510240478
2014-10-01,13359.548383355634
2014-11-01,13081.23905053763
2014-12-01,13684.922848927243
2015-01-01,13655.90694025776
2015-02-01,13459.934406162842
2015-03-01,13136.985203564227
2015-04-01,12868.517409403712
2015-05-01,13554.138649071772
2015-06-01,14375.284823104335
2015-07-01,14121.141772116047
